序号,提交答卷时间,所用时间,来源,来源详情,1、投票列表：请尽量填入完整的中文动画标题。—印象深刻的年度动画（权重4）（必答）,1、想要推荐的精彩动画A（权重2）,1、想要推荐的精彩动画B（权重2）,1、值得一看的优秀动画A（权重1）,1、值得一看的优秀动画B（权重1）,2、我要更改投票权重分配逆天改命！,3、更改投票权重（总计10）：—年度动画,3、精彩动画A,3、精彩动画B,3、优秀动画A,3、优秀动画B,4、我要撰写评语发电！,5、动画瓶语：—年度动画,5、精彩动画A,5、精彩动画B,5、优秀动画A,5、优秀动画B
1,2024/1/23 17:44:17,163秒,手机提交,直接访问,我推的孩子,偶像大师 灰姑娘女孩u149,bangdream itsmygo！,咒术回战,(空),是,4,3,2,1,0,是,神中神！,神中神！,(空),(空),(空)
2,2024/1/23 17:48:17,191秒,手机提交,直接访问,咒术回战2,mygo！,fate 赝作黎明低语,u149,不当哥哥了！,是,4,2,1,1,2,是,啊啊啊啊啊啊啊哦哦哦哦哦哦啊啊,重い,すごい,可愛い,超可愛い
3,2024/1/23 18:45:32,65秒,手机提交,直接访问,Bangdream it'MYGO！！！！！,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
4,2024/1/23 18:54:29,1341秒,手机提交,直接访问,你想活出怎样的人生,葬送的芙莉莲,天国大魔境,MyGO,别当欧尼酱了,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,宫崎骏老爷子要长寿啊，再多导几部吧,(空),(空),(空),(空)
5,2024/1/23 18:56:02,157秒,手机提交,直接访问,mygo,死神,100个超超超喜欢,芙莉莲,赫鲁库,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
6,2024/1/23 18:56:39,190秒,微信,,梦想大爆炸：这是我去,(空),(空),(空),(空),是,10,0,0,0,0,是,求求你再给我看一集吧，只要是我能做的我什么都愿意做,(空),(空),(空),(空)
7,2024/1/23 19:02:10,211秒,手机提交,直接访问,葬送的芙莉莲,别当欧尼酱了,bang dream it's mygo,天国大魔境,我心中危险的东西,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,伟大，无需多言,兄弟，你好香,一辈子看mygo,我草，有牛，牛逼的牛,危门
8,2024/1/23 19:24:37,445秒,手机提交,直接访问,梆的一声，我该走了,马rttt,古利特宇宙,马里奥电影,梦幻工厂(冈片,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
9,2024/1/23 19:34:24,560秒,手机提交,直接访问,我心中危险的东西,久保同学不放过我,香格里拉边境,(空),(空),是,8,1,0,0,1,是,卧槽还有比我心危更细腻的恋爱番／漫画了吗？？？？真的一举一动都是糖啊啊啊啊啊啊啊亚玛达桑，这部作品不怎么迎合大众的画风，但其用细腻精彩的剧情和两人互动间的小细节完全改变了我对画风的不满，睡前看一看，梦中笑嘻嘻,久保同学等了好久终于出动画了，高三周末回校下外卖必选,很精彩的mmo类型制作也很精良,(空),(空)
10,2024/1/23 20:33:46,115秒,手机提交,直接访问,布莱泽奥特曼,(空),(空),(空),(空),是,10,0,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
11,2024/1/23 21:11:35,106秒,手机提交,直接访问,芙丽莲,迷宫饭,mygo（我还没看完呢所以先推荐）,(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
12,2024/1/23 21:18:41,375秒,手机提交,直接访问,bangdream  it'mygo,葬送的芙莉莲,别当欧尼酱了,药屋少女的呢喃,无神世界中的神明活动,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
13,2024/1/23 21:36:32,375秒,手机提交,直接访问,葬送的芙莉莲,BANG Dream！It's my go！！！！！,我心里危险的东西,堀与宫村2,无神世界的神明活动,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
14,2024/1/23 21:37:10,566秒,手机提交,直接访问,葬送的芙莉莲,别当欧尼酱了！,冰海战记第二季,咒术回战第二季,进击的巨人 最终季 完结篇 前后篇,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
15,2024/1/23 21:40:32,232秒,手机提交,直接访问,我推的孩子,葬送的芙莉莲,想要成为影之实力者第二季,药屋少女的呢喃,无职转生第二季,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
16,2024/1/23 21:50:05,262秒,手机提交,直接访问,宝可梦地平线,超超超超喜欢你的一百个女孩子,我心里危险的东西,葬送的芙丽莲,mygo,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,求求你们都去看pkm新作吧我什么都会做的,恋超人的后宫纯爱,年度最佳扭成蛆,平稳发挥,我永远喜欢高松灯
17,2024/1/23 21:51:48,107秒,手机提交,直接访问,BANGDream It's MyGO！！！！！,白圣女与黑牧师,星灵感应,(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
18,2024/1/23 21:53:22,74秒,手机提交,直接访问,mygo,mygo,mygo,mygo,mygo,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,mygo！没有你我怎么活啊,(空),(空),(空),(空)
19,2024/1/23 21:58:43,105秒,手机提交,直接访问,我心中危险的东西,MyGO,(空),(空),(空),是,6,4,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
20,2024/1/23 22:02:29,56秒,手机提交,直接访问,进击的巨人,命运石之门,(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
21,2024/1/23 22:04:05,1681秒,手机提交,直接访问,BanG Dream！ It's MyGO！！！！！,别当哥哥了,药屋少女的呢喃,无神世界中的神明活动,超超超超超喜欢你的一百个女朋友,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
22,2024/1/23 22:10:00,371秒,手机提交,直接访问,mygo,我心中危险的东西,进击的巨人最终季part2,我推的孩子,葬送的芙丽莲(还没看过,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
23,2024/1/23 22:19:43,429秒,手机提交,直接访问,葬送的芙丽连,我心中危险的东西,mygo,别做欧尼酱,u149,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
24,2024/1/23 22:25:16,230秒,链接,直接访问,炸梦，这是我去,冥王,天国大魔境,overtake（不知道中文译名是啥）,悦动青春,是,4,2,2,1,1,否,(跳过),(跳过),(跳过),(跳过),(跳过)
25,2024/1/23 23:12:49,129秒,手机提交,直接访问,bangdream it's my go！！！！！,(空),(空),(空),(空),是,10,0,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
26,2024/1/23 23:28:30,1168秒,微信,,葬送的芙莉莲,药屋少女的呢喃,别当欧尼酱了,无职转生第二季,不死不幸,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
27,2024/1/23 23:31:59,128秒,手机提交,直接访问,咒术回战2,命运赝作黎明低语,u149,mygo！,おにまい(不当哥哥了！）,是,4,1,1,1,3,否,(跳过),(跳过),(跳过),(跳过),(跳过)
28,2024/1/23 23:38:04,54秒,手机提交,直接访问,bangdream,(空),(空),(空),(空),(空),(跳过),(跳过),(跳过),(跳过),(跳过),是,"至少见一面让我当面道歉好吗？
我也吓了一跳，没想到事情会演变成那个样子…
所以我想好好说明一下
我要是知道就会阻止她们的，但是明明编排表都已经结束了突然间开始演奏
没能阻止大家真是对不起…
小祥，你在生气对吧…
我想你生气也是当然的
但是请你相信我。春日影，本来没有在我们的演奏预定曲目里的
真的很对不起
我答应你再也不会随意演奏了
我会让她们保证再也不演奏这首曲子
能不能稍微谈一谈？
我真的把CRYCHIC的一切看得非常重要
所以说，擅自演奏春日影的时候我和小祥你一样难过
我希望你能明白我的心情
拜托了。我哪里都会去的
我也会好好跟你说明我不得不组乐队的理由
我想如果你能见我一面，你就一定能明白的
我是小祥你的同伴
我好想见你",(空),(空),(空),(空)
29,2024/1/23 23:42:54,74秒,手机提交,直接访问,葬送的芙莉莲,(空),(空),(空),(空),是,10,0,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
30,2024/1/24 0:38:47,16秒,手机提交,直接访问,葬送的芙莉莲,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
31,2024/1/24 0:39:46,340秒,手机提交,直接访问,Mygo,芙莉莲,辉夜,虚构推理2,莱莎的炼金工坊,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,祥子说了MyGo第一的话今年就播出母鸡卡,伟大，无需多言,厨力爆棚,变化的关系性的延续,这真的是一部番
32,2024/1/24 0:42:59,519秒,手机提交,直接访问,mygo,葬送的芙莉莲,别当欧尼酱了,偶像大师U149,跃动青春,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
33,2024/1/24 0:52:43,2622秒,手机提交,直接访问,mygo,心理测量者 providence,机动战士高达 水星的魔女,我心里危险的东西,冰海战记第二季,是,3,3,2,1,1,是,剧情和角色塑造都非常优秀，可能是第一次见到的和中国二次元群体热衷的讨论话题这么契合的片子。,心理测量者虽然名声不算显赫但也是21世纪数得上的大型原创动画企划了，作为pig科幻原创的扛把子它做到了很多大型原创企划难以做到的事情，即延续最初的议题不断进行讨论，并且不断有新的东西，而非同一主题的重复或者干脆放弃讨论彻底服务粉丝。这点对于一部充满思辨性的作品来说尤其难能可贵。,说实话我不是很能理解为啥蒜在中文互联网还能褒贬不一甚至多数好评，而水星魔女就几乎是差评如潮了。无论是我个人的观感还是三癞子官方认证seed之后最能拉新人的高达，以及去年推特最高热度动画这些事实，都能说明水星魔女在讨好大部分观众这点上至少做到了蒜的水平，而且在我个人眼中水星魔女台词，剧情和角色塑造都明显比蒜强，就台词水准来说可能是去年tv里给我印象最深的。这样的作品风评和蒜差这么大，对我来说有点费解（,之前看完辉夜第三季感慨十年了终于有能和冰菓扳手腕的校园恋爱片了，结果马上又来一部…樱井老师是如何能够在这么多充满真实感的细节里挖掘出这么多戏剧性的…冈妈以前出了本书讲自己的经历以及自己独特感性形成的原因，说实话我对冈妈的经历没啥兴趣，但我对樱井老师的经历很感兴趣，想知道她学生时代谈过怎样的恋爱…,冰海战记第二季可以说是严肃命题动画的范本，克制得吓人，不利于命题表达的剧情一点不加。虽说损失了不少娱乐性和话题性，尤其是对比巨人完结篇，但也因此特立独行，值得尊敬。
34,2024/1/24 0:53:07,133秒,手机提交,直接访问,葬送的芙莉莲,我心中危险的东西,(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
36,2024/1/24 1:04:09,286秒,手机提交,直接访问,我心里危险的东西,跃动青春,我推的孩子,辉夜大小姐想让我告白-初吻不会结束-,无神世界的神明活动,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
37,2024/1/24 1:18:32,264秒,手机提交,直接访问,BanG Dream！ It's MyGO！！！！！,BanG Dream！ It's MyGO！！！！！,BanG Dream！ It's MyGO！！！！！,BanG Dream！ It's MyGO！！！！！,BanG Dream！ It's MyGO！！！！！,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
38,2024/1/24 1:32:02,1922秒,微信,,BanG Dream！ It's MyGO！！！！！,葬送的芙莉莲,我心里危险的东西,生而为狗 我很幸福,无神世界中的神明活动,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,扭曲，是艺术的一种表达方式，是创新的灵魂，也是突破常规的力量。它以独特的视角和方式，诠释着世界的多面性，让我们看到了不一样的美。扭曲，是对现实的挑战，也是对未来的探索。它让我们在混乱中找到秩序，在矛盾中寻找和谐。赞美扭曲，就是赞美生活的多元，赞美人性的复杂，赞美艺术的无限可能。这部动画恰恰就是此种艺术的顶级作品。——走向成功的男♂人,叙事节奏舒适，人物刻画细腻，动画制作以及配乐都算上乘，想看直接入就完了。——走向成功的男♂人,(空),这部动画以动物的视角给我们带来了不一样的视觉体验。虽然它走的是“歪门邪道”，但是它能走到登峰造极的地步，难道我们不该给予这部动画一个公平的评价吗？——走向成功的男♂人,这是一部合格的搞笑番。声优演绎给力，3D制作很有特色，贡献了绝大部分笑点。可谓是“好钢用在了刀刃上“，无心插柳柳成荫。——走向成功的男♂人
39,2024/1/24 1:32:27,256秒,手机提交,直接访问,间谍过家家2,间谍过家家2,狩龙人拉格纳,间谍过家家2,地错4,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
40,2024/1/24 1:53:17,193秒,手机提交,直接访问,葬送的芙莉连,我心中危险的东西,我推的孩子,(空),(空),是,6,2,2,0,0,是,辛逝纪芙音战士无敌，肥伦修宝贴贴！,纯爱赛高！,大赤老师你再让我看一话推子吧，一话就行,(空),(空)
41,2024/1/24 5:58:14,11880秒,手机提交,直接访问,偶像大师u149,葬送的芙莉莲,我心中危险的东西,无职转生第二季,我推的孩子,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
42,2024/1/24 8:14:32,24秒,手机提交,直接访问,古立特宇宙,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
43,2024/1/24 9:39:30,313秒,手机提交,直接访问,葬送的芙莉莲,BanG Dream！ It's MyGO！！！！！,别当欧尼酱了,咒术回战 怀玉·玉折/涩谷事变,我的百合乃工作是也！,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
44,2024/1/24 9:55:48,85秒,手机提交,直接访问,天国大魔境,(空),(空),(空),(空),是,10,0,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
45,2024/1/24 12:53:37,69秒,手机提交,直接访问,地狱乐,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
46,2024/1/24 13:03:43,629秒,微信,,无职转生Ⅱ ～到了异世界就拿出真本事～,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
47,2024/1/24 13:04:22,158秒,手机提交,直接访问,葬送的芙莉莲,泥鲸之子们在沙地上歌唱,平家物语,奇蛋物语,(空),是,1,3,3,3,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
48,2024/1/24 13:07:02,124秒,手机提交,直接访问,我推,送葬的芙蓉王,(空),(空),(空),是,6,4,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
49,2024/1/24 13:10:28,38024秒,手机提交,直接访问,葬送的芙莉莲,我推的孩子,鬼灭之刃锻刀村篇,冰海战记2,MyGO,是,3,2,2,2,1,否,(跳过),(跳过),(跳过),(跳过),(跳过)
50,2024/1/24 14:06:03,112秒,手机提交,直接访问,pluto冥王,mygo,芙丽连,别当欧尼酱,blue giant,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
51,2024/1/24 15:56:19,1050秒,手机提交,直接访问,BLUE GIANT,偶像大师百万现场,别当欧尼酱了,(空),(空),是,10,0,0,0,0,是,爵士爱好者私心推荐。爽快的音乐轰炸配合上掀翻天灵盖的演出。更推荐原作漫画，电影两小时剧情节奏还是发展得太快了（反过来说毫不拖沓）。,喜报！销量不如电锯人。,猫豆腐老师原作，动画大约的确是玩开心了罢。推荐一下猫豆腐老师的「夜雀食堂」，有官方中文版哦。,(空),(空)
52,2024/1/24 17:17:30,91秒,手机提交,直接访问,拾荒者统治,pluto冥王,mygo,我心里危险的东西,别当欧尼酱,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
53,2024/1/24 17:37:31,35秒,手机提交,直接访问,进巨,死亡笔记,(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
54,2024/1/24 20:43:50,1007秒,手机提交,直接访问,It's MyGO,偶像大师灰姑娘女孩U149,葬送的芙莉莲,冰海战记 第二季,(空),是,3,3,2,2,0,是,求你了，让我再看一集mygo把，我什么都会做的,学神，爱丽丝是能成为我妈妈的女人,(空),(空),(空)
55,2024/1/24 20:44:39,22秒,手机提交,直接访问,mygo,mygo,mygo,mygo,(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
56,2024/1/24 20:49:12,43秒,手机提交,直接访问,憧憬成为魔法少女,憧憬成为魔法少女,憧憬成为魔法少女,憧憬成为魔法少女,憧憬成为魔法少女,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
57,2024/1/25 2:15:38,296秒,手机提交,直接访问,葬送的芙莉莲,天国大魔境,跃动青春,别当欧尼酱了,mygo,是,3,3,2,1,1,是,完美,神,别人的高中生活,做的不错,为什么avemujica要到2025年啊
58,2024/1/25 7:15:34,2948秒,手机提交,直接访问,我推的孩子,天国大魔境,我心里危险的东西,爱丽丝与特蕾斯的梦幻工厂,古立特宇宙,是,2,3,1,3,1,是,"别论其他的，就问你印象深不深吧.jpg
（已经猜到芙会霸榜，不差我这一个，那我就给推子来投点票吧）","2023最棒的动画作品，节奏文戏一流，末世构建与氛围引人入胜，伏笔与回收令人震撼，关于自我认同与存在主义的探讨相当优秀，末世的真实感与人物的挣扎相辅相成。它具有一部优秀动漫所有的全部特征。最后争议颇多的所谓NTR剧情，其实是推动“女主”的自我身份认识重塑的重要一环，实现了与自己幼时幻想偶像的祛魅与切割，并以极端的方式逼迫自己去直面那个不能回避的诘问：自己，到底是谁。自己的身份认同，到底从何而来。天国的最终归宿是魔境，魔境中的人们挣扎着寻找天国。正是那句话，“绝望之为虚妄，正与希望相同”，天国触不可及，那就在人间好好活下去，成为你自己。
（个人更喜欢一些严肃一点，有深入主题探讨的作品，而这是芙、推、mygo、欧尼酱等优秀作品中我所看不到的元素。看完这些不妨看看天国换个口味也不错）
其实本来想写冰海战记2的，架不住天国给我的印象太深刻了（叹）","伟大，无需多言
真是青春啊.jpg",作为冈妈新作，除去扭曲的恋爱线，其实世界观的设定、旧工厂设定以及关于家乡和成长的主题其实蛮戳我的。废弃的旧工业基地与父辈们被工业变迁改变的人生让我这种东北孩子莫名共鸣，甚至有点悲伤。希望各位能看一看这部作品，尽管毁誉参半，但它值得你拿出两小时来观看。,“让我看看，你所拥有的宇宙”
59,2024/1/25 11:38:49,818秒,手机提交,直接访问,偶像大师百万现场,犬王,天国大魔境,偶像大师灰姑娘女孩 U149,冰海战记 第二季,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,以日本TV动画最高水准的3DCG，认真地讲述最纯粹王道、积极向上的故事，完成了创作者想为观众描绘的美好世界。,借歌舞在理想与现实间生存，让历史和艺术自然交融（大陆2023年上映）,原作功力了得,(空),(空)
60,2024/1/25 23:51:38,1918秒,手机提交,直接访问,鸭乃桥论的禁忌推理,弦音 -连结的一射-,尼尔：自动人形 Ver1.1a,(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),是,"（前排提示：看的番不多而且偏冷门，所以参评啥的无所谓了，只是找个地方来抒发一下感受啦）
天野娘新作动画化，对推理类作品比较感冒所以看了，虽然主角真的幻视云雀恭弥但是不影响我欣赏他独到的魅力。推理部分还是经得起考验的，画风也没有很大的问题，无功无过就是最好的评价了，而且听说第二季制作无缝衔接地开展就更增加好感度了。
（吐槽一下阿B作为国内唯一播放源，电视台那边都播完多久了才慢悠悠上线第一二集，不要看到标题有禁忌就以为有不能播的东西啊）",剧场版半年后，第二季好快的上。制作方面一如既往的精美，对主角团成长的刻画也更加细腻了，真的让人很期待第三季！但是竹马静凑党真的被创的想似啊我家静弥人设刻画比愁雅等人单薄就算了为什么在这里陪伴不是最长情的告白啊啊啊,（僅限港澳臺地區警告）玩的游戏动画化了所以看了，总体没啥问题，每集最后的小人也好可爱，是可以看的程度。,(空),(空)
61,2024/1/26 10:53:32,75秒,手机提交,直接访问,bang dream its mygo,古利特宇宙,(空),16bit的感动,(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
62,2024/1/26 13:06:56,263秒,手机提交,直接访问,mygo,葬送的芙莉莲,咒术回战2,别当哥哥了,虚构推理2,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
63,2024/1/26 18:55:18,773秒,手机提交,直接访问,犬王,BanG Dream！ It's MyGO！！！！！,和山田进行LV.999的恋爱,(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),是,(空),(空),这片可能比较冷门，剧本也一般，但演出却十分舒适，时间的流动在漫画式的演出中变得缓慢，这种快慢之间的切换是本片一大精髓,(空),(空)
64,2024/1/26 22:37:51,84秒,手机提交,直接访问,天国大魔境,葬送的芙莉莲,It's my go！！！！！,别当哥哥了,百合乃是工作,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
65,2024/1/28 9:25:29,36秒,手机提交,直接访问,我推的孩子,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
66,2024/1/30 12:31:59,42秒,手机提交,直接访问,mygo,mygo,mygo,mygo,我心里危险的东西,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
67,2024/1/30 12:33:21,149秒,手机提交,直接访问,葬送的芙莉莲,偶像大师灰姑娘女孩u149,冰海战记第二季,我心里危险的东西,勇者赫鲁库,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
68,2024/1/30 12:46:25,120秒,手机提交,直接访问,葬送的芙莉莲,进击的巨人终章下,(空),(空),(空),是,7,3,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
69,2024/1/30 13:55:48,161秒,手机提交,直接访问,葬送的芙莉莲,BanG Dream！ Its MyGO！！！！！,药屋少女的呢喃,间谍过家家第二季,(空),是,5,3,1,1,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
70,2024/1/30 14:31:28,142秒,手机提交,直接访问,BangDream its MyGo！！！,葬送的芙莉莲,浪客剑心新篇,赛马娘 第三季,ssss 电光机王剧场版,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
71,2024/1/31 15:29:47,2689秒,链接,直接访问,偶像大师 灰姑娘女孩 u149,葬送的芙莉莲,咒术回战2,Bangdream it's MYGO！！！,天国的大魔境,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,首先我承认将u149投为年度最佳动画占了比较大的私心（对不起但是爱丽丝真的太可爱了）。但是不得不承认的是，u149确实是看了很多年偶像番萝莉番中带给我观看体验与后续印象最深刻的一部。剧情其实很简单，12集9个孩子的个人回及live，卖点也在于对每个小偶像的刻画。但是越简单的剧情越体现出制作组用心程度，比如结城晴，在刻画她的房间时，架子床足球海报等，明显是男孩子布置；在桃华抱了蜥蜴后，下一个分镜本来非常害怕的爱丽丝不服输地也抱起了蜥蜴。这种描写经常一带而过但是仔细一品让后面对角色性格的体现更加有根据，而不是单纯说教式地灌输。然后另一个让我很喜欢的点是整部作品的主题，制作组非常有意地避开了“萝莉控”这种vulgar的幻想，让观众尽量以梦想，爱的角度去看待这群小学生偶像，一言以蔽之，U149的闪光点在于：它为我们展示了理想中的美好的同时并没有刻意隐去现实中的冲突，和那些过于理想萌豚的番剧不同，它那种理想中的真实感似乎真的能带给我们一种力量，一种去坚信美好仍在人间的力量。,(空),怀玉玉折篇我认为在看过的少年漫改里面都可以排到前三的水平，制作者用op和ed一下带过了三人组的高中时光，再用一场死亡，和很多细节推动了二人的分道扬镳，最后立马转到涩谷事变五条悟封印的一瞬间；战斗分镜不必多言，神中神，最喜欢的cut给一个虎杖打帐相和虎杖东堂打真人吧，真是行云流水，其他像宿傩打魔虚罗感觉过于炫技反而拖沓了节奏，一般般。综合一下可以给到年度第三的水平,我一直是个扭曲和重百爱好者（）虽然mygo并非百合番剧，但是角色之间感情的沉重程度看得我非常爽，让音乐在其中有了更强的感情成分，而且在剧情发展推动时节奏非常好，无论是春日影插入和后面解散，灯一个一个重聚，最后彻底与crychic的断开整个叙事非常流畅，避免了看婆娘吵架的无聊观感。,(空)
72,2024/1/31 15:37:29,41秒,手机提交,直接访问,MyGO,MyGO,MyGO,MyGO,MyGO,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
73,2024/1/31 16:00:08,1548秒,手机提交,直接访问,葬送的芙莉莲,mygo,别当哥哥了,我心危,药屋少女的呢喃,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
74,2024/1/31 16:51:13,887秒,手机提交,直接访问,葬送的芙莉莲,明日方舟 冬隐归路,机动战士高达 水星的魔女,辉夜大小姐剧场版,想要成为影之实力者,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,木头莲为什么没有和辛美尔在一起啊……（爱的力量是无限的！.jpg）,舟批必看！！！,听说好像正宗的高达迷会骂这个番？作为一个没看过老高达的二刺螈感觉还行？,会长和辉夜的恋爱太甜了啊啊啊啊啊！在恋爱番里找刀子是不是有什么大病？,看看装逼的shadow大人也算给校园生活一个调剂了
75,2024/1/31 17:58:32,93秒,手机提交,直接访问,mygo,葬送的芙丽莲,(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
76,2024/1/31 23:02:43,435秒,手机提交,直接访问,偶像大师灰姑娘女孩u149,咒术回战第二季,葬送的芙莉莲,影之诗f,傲娇恶役大小姐莉泽洛特与实况转播远藤君和解说员小林,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
77,2024/1/31 23:32:20,393秒,链接,直接访问,冰海战记 第二季,BanG Dream！ It's MyGO！！！！！,进击的巨人 最终季 完结篇 后篇,跃动青春,冥王,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
